p:(0.288468,0.864442),h:1,n:45,cr:0.0459386;
p:(0.297288,0.904932),h:1,n:55,cr:0.0377379;
p:(0.23828,0.970634),h:1,n:66,cr:0.059622;
p:(0.223338,0.945654),h:1,n:60,cr:0.0510222;
p:(0.121143,0.685786),h:1,n:46,cr:0.03195;
p:(0.241415,0.67532),h:1,n:53,cr:0.0750958;
p:(0.161133,0.7194),h:1,n:42,cr:0.0364828;
p:(0.186029,0.729702),h:1,n:54,cr:0.0432894;
p:(0.222225,0.752971),h:1,n:36,cr:0.0442243;
p:(0.249267,0.710807),h:1,n:55,cr:0.0497544;
p:(0.223656,0.651132),h:1,n:46,cr:0.0257988;
p:(0.192214,0.663227),h:1,n:66,cr:0.0407888;
p:(0.394521,0.706067),h:1,n:46,cr:0.0595369;
p:(0.413984,0.695984),h:1,n:49,cr:0.0545327;
p:(0.360914,0.739794),h:1,n:38,cr:0.0529698;
p:(0.398698,0.669857),h:1,n:38,cr:0.0459833;
p:(0.362154,0.718867),h:1,n:43,cr:0.0378602;
p:(0.260445,0.649659),h:1,n:54,cr:0.0521226;
p:(0.20231,0.771723),h:1,n:36,cr:0.0400095;
p:(0.214524,0.759208),h:1,n:38,cr:0.0321172;
p:(0.292886,0.708262),h:1,n:44,cr:0.0319627;
p:(0.270672,0.711743),h:1,n:42,cr:0.0406721;
p:(0.258112,0.683574),h:1,n:73,cr:0.0496708;
p:(0.305408,0.737408),h:1,n:72,cr:0.0735738;
p:(0.321478,0.66796),h:1,n:45,cr:0.0695979;
p:(0.35036,0.68667),h:1,n:39,cr:0.0619623;
p:(0.301763,0.65712),h:1,n:65,cr:0.0535389;
p:(0.335223,0.76823),h:1,n:39,cr:0.039308;
p:(0.316945,0.79341),h:1,n:45,cr:0.0370877;
p:(0.288752,0.808617),h:1,n:71,cr:0.0707012;
p:(0.306902,0.827705),h:1,n:39,cr:0.0361526;
p:(0.245583,0.791513),h:1,n:38,cr:0.0386767;
p:(0.257469,0.778257),h:1,n:37,cr:0.0400307;
p:(0.292517,0.771358),h:1,n:49,cr:0.0532666;
p:(0.367118,0.615491),h:1,n:71,cr:0.0576245;
p:(0.376631,0.630351),h:1,n:48,cr:0.0620392;
p:(0.344943,0.598481),h:1,n:48,cr:0.0369044;
p:(0.387996,0.596191),h:1,n:55,cr:0.0644398;
p:(0.412483,0.611981),h:1,n:39,cr:0.0445762;
p:(0.457716,0.780868),h:1,n:60,cr:0.0472582;
p:(0.501835,0.694091),h:1,n:60,cr:0.0555714;
p:(0.467529,0.678068),h:1,n:44,cr:0.0429354;
p:(0.499956,0.744678),h:1,n:43,cr:0.0298849;
p:(0.45667,0.74439),h:1,n:47,cr:0.0437197;
p:(0.375207,0.760249),h:1,n:63,cr:0.042676;
p:(0.439207,0.717778),h:1,n:46,cr:0.0329723;
p:(0.461848,0.648545),h:1,n:55,cr:0.0554857;
p:(0.439449,0.782721),h:1,n:38,cr:0.0368664;
p:(0.404856,0.785448),h:1,n:48,cr:0.0429635;
p:(0.401282,0.840899),h:1,n:49,cr:0.0519764;
p:(0.344251,0.814909),h:1,n:40,cr:0.0468273;
p:(0.336351,0.847684),h:1,n:37,cr:0.0300742;
p:(0.382628,0.808718),h:1,n:51,cr:0.0583158;
p:(0.357193,0.878278),h:1,n:48,cr:0.0481576;
p:(0.516057,0.704693),h:1,n:46,cr:0.0447233;
p:(0.0174566,0.717597),h:1,n:56,cr:0.0645517;
p:(0.0635606,0.685722),h:1,n:56,cr:0.0640007;
p:(0.0452778,0.666058),h:1,n:37,cr:0.0476488;
p:(0.00543489,0.649787),h:1,n:50,cr:0.0385126;
p:(0.074161,0.633072),h:1,n:44,cr:0.0487789;
p:(0.089609,0.687546),h:1,n:61,cr:0.0652733;
p:(0.0509814,0.583101),h:1,n:55,cr:0.0803392;
p:(0.00146079,0.581605),h:1,n:54,cr:0.0373273;
p:(0.136956,0.659878),h:1,n:45,cr:0.0458661;
p:(0.198021,0.612442),h:1,n:52,cr:0.0328101;
p:(0.0491625,0.449105),h:1,n:49,cr:0.0477164;
p:(0.0320041,0.477887),h:1,n:43,cr:0.0373489;
p:(0.0207081,0.413732),h:1,n:39,cr:0.0351728;
p:(0.0347164,0.431844),h:1,n:49,cr:0.0349537;
p:(0.0782409,0.418925),h:1,n:50,cr:0.0259322;
p:(0.206421,0.423981),h:1,n:38,cr:0.0303021;
p:(0.243905,0.436149),h:1,n:71,cr:0.0537904;
p:(0.210883,0.473894),h:1,n:58,cr:0.0453111;
p:(0.190984,0.483648),h:1,n:38,cr:0.0303312;
p:(0.183765,0.458039),h:1,n:36,cr:0.0319918;
p:(0.122489,0.483742),h:1,n:38,cr:0.0586708;
p:(0.138114,0.417663),h:1,n:40,cr:0.0458941;
p:(0.188201,0.436497),h:1,n:41,cr:0.0321483;
p:(0.173065,0.447982),h:1,n:43,cr:0.0471821;
p:(0.143982,0.413078),h:1,n:38,cr:0.051394;
p:(0.126222,0.461949),h:1,n:47,cr:0.0351054;
p:(0.231253,0.501174),h:1,n:38,cr:0.0487646;
p:(0.246445,0.521583),h:1,n:48,cr:0.0291729;
